country,net_sales,gross_sales,return_value,total_orders,total_customers,units_sold,units_returned
Australia,166444.42,169283.46,2839.04,117,15,103759,692
Austria,23177.60,23613.01,435.41,51,13,11578,272
Bahrain,2861.55,3109.79,248.24,12,2,1339,64
Belgium,63208.89,65387.82,2178.93,183,29,34768,180
Bermuda,1253.14,1253.14,0.00,1,0,2798,0
Brazil,1411.87,1411.87,0.00,2,2,545,0
Canada,4883.04,4883.04,0.00,8,5,3657,0
Channel Islands,41080.18,44623.33,3543.15,79,14,21396,1009
Cyprus,24032.56,24849.95,817.39,45,11,10950,298
Czech Republic,707.72,826.74,119.02,5,1,671,79
Denmark,64459.59,68580.69,4121.10,53,12,237471,2707
EIRE,609953.78,658767.31,48813.53,806,5,336329,9173
European Community,1291.75,1300.25,8.50,5,1,499,2
Finland,29514.45,29925.54,411.09,68,15,14375,58
France,321733.39,350456.09,28722.70,746,95,271901,90330
Germany,411959.16,425019.71,13060.55,1095,107,225154,3357
Greece,18995.49,19096.19,100.70,21,5,7724,17
Hong Kong,13830.50,23685.52,9855.02,21,0,7021,6
Iceland,4921.53,4921.53,0.00,8,1,2967,0
Israel,11101.37,11328.81,227.44,11,4,5538,56
Italy,30254.10,32108.17,1854.07,92,17,15312,190
Japan,39662.10,43023.91,3361.81,56,10,31643,1505
Korea,949.82,1118.51,168.69,3,2,700,102
Lebanon,1865.91,1905.58,39.67,3,1,458,1
Lithuania,4892.68,4892.68,0.00,6,1,2306,0
Malta,5192.22,8099.09,2906.87,16,2,2519,28
Netherlands,548330.70,554038.09,5707.39,249,23,383879,2666
Nigeria,-6.66,140.39,147.05,3,1,103,47
Norway,35455.91,56322.50,20866.59,53,13,23621,95
Poland,10279.93,10654.29,374.36,38,6,5688,184
Portugal,51403.68,56283.53,4879.85,124,24,27719,351
RSA,3369.03,4804.32,1435.29,5,2,1970,1
Saudi Arabia,131.17,145.92,14.75,2,1,80,5
Singapore,13158.16,25317.06,12158.90,14,1,6994,7
Spain,91013.44,108332.49,17319.05,188,41,50307,5651
Sweden,87775.52,91869.82,4094.30,129,19,88633,775
Switzerland,99403.06,100685.59,1282.53,123,22,52762,507
Thailand,3070.54,3070.54,0.00,2,1,2552,0
United Arab Emirates,9948.65,11097.63,1148.98,22,4,7321,593
United Kingdom,16144736.46,17410569.67,1265833.21,43850,5407,9187754,354230
Unspecified,9678.47,10927.16,1248.69,28,7,6729,18
USA,6286.54,8366.86,2080.32,25,9,5264,1564
West Indies,536.41,536.41,0.00,1,1,395,0
