customer_id,total_orders,unique_products,net_sales,avg_transaction_value,units_purchased,units_returned,first_purchase_date,last_purchase_date,recency,frequency,monetary,segment,segment_name
12346,17,30,-51.74,-1.10,74285,74232,2009-12-14 08:34:00,2011-01-18 10:17:00,325,17,-51.74,0,At Risk
12347,8,126,4921.53,22.17,2967,0,2010-10-31 14:20:00,2011-12-07 15:52:00,1,8,4921.53,0,At Risk
12348,5,25,2019.40,39.60,2714,0,2010-09-27 14:59:00,2011-09-25 13:13:00,74,5,2019.40,0,At Risk
12349,5,139,4404.54,24.47,1624,5,2009-12-04 12:49:00,2011-11-21 09:51:00,18,5,4404.54,0,At Risk
12350,1,17,334.40,19.67,197,0,2011-02-02 16:01:00,2011-02-02 16:01:00,309,1,334.40,0,At Risk
12351,1,21,300.93,14.33,261,0,2010-11-29 15:23:00,2010-11-29 15:23:00,374,1,300.93,0,At Risk
12352,13,70,1889.21,16.72,724,66,2010-11-12 10:20:00,2011-11-03 14:37:00,35,13,1889.21,0,At Risk
12353,2,23,406.76,16.95,212,0,2010-10-27 12:44:00,2011-05-19 17:47:00,203,2,406.76,0,At Risk
12354,1,58,1079.40,18.61,530,0,2011-04-21 13:11:00,2011-04-21 13:11:00,231,1,1079.40,0,At Risk
12355,2,35,947.61,27.07,543,0,2010-05-21 11:59:00,2011-05-09 13:49:00,213,2,947.61,0,At Risk
12356,6,104,6371.73,44.87,3416,0,2010-10-11 09:42:00,2011-11-17 08:40:00,22,6,6371.73,0,At Risk
12357,3,261,18287.66,61.78,6587,0,2010-11-16 10:05:00,2011-11-06 16:07:00,32,3,18287.66,0,At Risk
12358,5,56,3887.07,50.48,1079,0,2009-12-08 07:59:00,2011-12-08 10:26:00,1,5,3887.07,0,At Risk
12359,14,305,8652.34,23.26,2739,226,2009-12-05 13:32:00,2011-12-02 11:21:00,7,14,8652.34,0,At Risk
12360,9,160,4212.89,19.33,2459,1,2010-02-22 09:32:00,2011-10-18 15:22:00,51,9,4212.89,0,At Risk
12361,4,18,511.25,17.63,235,0,2010-01-26 14:37:00,2011-02-25 13:51:00,286,4,511.25,0,At Risk
12362,14,201,5284.58,19.22,2230,17,2009-12-01 10:10:00,2011-12-06 15:40:00,2,14,5284.58,0,At Risk
12363,2,23,552.00,24.00,408,0,2011-04-11 13:29:00,2011-08-22 10:18:00,109,2,552.00,0,At Risk
12364,4,70,1313.10,15.45,1506,0,2011-08-19 15:24:00,2011-12-02 10:22:00,7,4,1313.10,0,At Risk
12365,3,22,320.69,13.94,174,1,2011-02-21 13:51:00,2011-02-21 14:04:00,290,3,320.69,0,At Risk
12366,1,3,500.24,166.75,296,0,2010-03-16 10:28:00,2010-03-16 10:28:00,633,1,500.24,0,At Risk
12367,1,11,168.90,15.35,173,0,2011-12-05 16:48:00,2011-12-05 16:48:00,3,1,168.90,0,At Risk
12368,1,18,917.70,50.98,330,0,2010-03-21 15:56:00,2010-03-21 15:56:00,627,1,917.70,0,At Risk
12369,3,90,1791.15,19.26,1241,0,2010-03-08 08:09:00,2010-10-22 13:13:00,412,3,1791.15,0,At Risk
12370,7,168,4316.56,21.48,2604,0,2010-02-09 09:41:00,2011-10-19 14:51:00,50,7,4316.56,0,At Risk
12371,5,134,4067.38,24.36,1436,0,2010-03-04 18:23:00,2011-10-26 10:16:00,44,5,4067.38,0,At Risk
12372,3,34,1298.04,24.96,794,0,2011-02-16 12:46:00,2011-09-29 12:12:00,71,3,1298.04,0,At Risk
