year_month,year,month,month_name,quarter,net_sales,gross_sales,return_value,total_orders,total_customers,average_order_value,return_rate
2009-12,2009,12,December,4,796648.50,822483.95,25835.45,2083,1045,382.45,3.14
2010-01,2010,1,January,1,622479.50,651155.11,28675.61,1405,786,443.05,4.40
2010-02,2010,2,February,1,531265.36,551878.29,20612.93,1441,805,368.68,3.74
2010-03,2010,3,March,1,763247.24,830915.26,67668.02,2088,1111,365.54,8.14
2010-04,2010,4,April,2,641521.05,678875.25,37354.20,1766,998,363.26,5.50
2010-05,2010,5,May,2,613270.72,657705.50,44434.78,1907,1062,321.59,6.76
2010-06,2010,6,June,2,677073.87,749537.31,72463.44,2002,1095,338.20,9.67
2010-07,2010,7,July,3,617365.48,648810.27,31444.79,1873,988,329.61,4.85
2010-08,2010,8,August,3,654774.39,695251.91,40477.52,1698,964,385.62,5.82
2010-09,2010,9,September,3,851105.96,921696.99,70591.03,2210,1202,385.12,7.66
2010-10,2010,10,October,4,1080611.48,1161902.22,81290.74,2777,1577,389.13,7.00
2010-11,2010,11,November,4,1416697.20,1464293.14,47595.94,3323,1683,426.33,3.25
2010-12,2010,12,December,4,746723.61,821452.73,74729.12,1885,948,396.14,9.10
2011-01,2011,1,January,1,558448.56,689811.61,131363.05,1346,783,414.89,19.04
2011-02,2011,2,February,1,497026.41,522545.56,25519.15,1319,798,376.82,4.88
2011-03,2011,3,March,1,682013.98,716215.26,34201.28,1772,1020,384.88,4.78
2011-04,2011,4,April,2,492367.84,536968.49,44600.65,1486,899,331.34,8.31
2011-05,2011,5,May,2,722094.10,769296.61,47202.51,1995,1079,361.95,6.14
2011-06,2011,6,June,2,689977.23,760547.01,70569.78,1862,1051,370.56,9.28
2011-07,2011,7,July,3,680156.99,718076.12,37919.13,1745,993,389.77,5.28
2011-08,2011,8,August,3,703510.58,757841.38,54330.80,1639,980,429.23,7.17
2011-09,2011,9,September,3,1017596.68,1056435.19,38838.51,2170,1302,468.94,3.68
2011-10,2011,10,October,4,1069368.23,1151263.73,81895.50,2402,1425,445.20,7.11
2011-11,2011,11,November,4,1456145.80,1503866.78,47720.98,3210,1710,453.63,3.17
2011-12,2011,12,December,4,432719.06,637808.33,205089.27,965,686,448.41,32.16
