stock_code,description,units_sold,units_returned,net_sales,gross_sales,return_value,total_orders
10002,INFLATABLE POLITICAL GLOBE ,8671,1223,6058.71,6942.26,883.55,369
10002R,ROBOT PENCIL SHARPNER,4,0,20.57,20.57,0.00,3
10080,GROOVY CACTUS INFLATABLE,315,0,129.29,129.29,0.00,27
10109,BENDY COLOUR PENCILS,4,0,1.68,1.68,0.00,1
10120,DOGGY RUBBER,664,30,136.44,142.74,6.30,74
10123C,HEARTS WRAPPING TAPE ,650,150,241.87,254.41,12.54,65
10123G,ARMY CAMO WRAPPING TAPE,2251,1104,99.32,165.56,66.24,17
10124A,SPOTS ON RED BOOKCOVER TAPE,58,0,24.36,24.36,0.00,18
10124G,ARMY CAMO BOOKCOVER TAPE,33,0,14.28,14.28,0.00,10
10125,MINI FUNKY DESIGN TAPES,2103,0,1715.78,1715.78,0.00,167
10133,COLOURING PENCILS BROWN TUBE,3837,20,2360.56,2373.26,12.70,291
10134,COLOURING PENCILS BROWN TUBE,625,10,708.63,721.13,12.50,53
10135,COLOURING PENCILS BROWN TUBE,4226,11,4552.46,4566.21,13.75,326
10138,ASSORTED COLOUR JUMBO PEN,261,194,29.32,111.22,81.90,25
11001,ASSTD DESIGN RACING CAR PEN,4829,811,6315.26,7408.65,1093.39,262
15030,FAN BLACK FRAME ,254,0,73.66,73.66,0.00,26
15034,PAPER POCKET TRAVELING FAN ,10153,1448,1300.20,1416.26,116.06,261
15036,ASSORTED COLOURS SILK FAN,44272,929,32323.00,32967.03,644.03,1005
15039,SANDALWOOD FAN,5101,27,4322.67,4345.62,22.95,310
15044A,PINK PAPER PARASOL ,4964,3,13202.80,13210.85,8.05,252
15044B,BLUE PAPER PARASOL ,1670,1,4641.18,4644.13,2.95,190
15044C,PURPLE PAPER PARASOL,967,5,3013.31,3027.26,13.95,235
15044D,RED PAPER PARASOL,1596,9,4533.50,4559.65,26.15,231
15056bl,EDWARDIAN PARASOL BLACK,116,0,1456.32,1456.32,0.00,87
15056BL,EDWARDIAN PARASOL BLACK,9504,213,46196.10,47267.45,1071.35,869
15056n,EDWARDIAN PARASOL NATURAL,173,0,2170.40,2170.40,0.00,116
15056N,EDWARDIAN PARASOL NATURAL,11286,155,57134.90,57975.45,840.55,1054
15056p,EDWARDIAN PARASOL PINK,46,0,577.84,577.84,0.00,38
15056P,EDWARDIAN PARASOL PINK,2473,313,11137.87,12228.92,1091.05,353
15058A,BLUE POLKADOT GARDEN PARASOL,200,5,1631.14,1668.49,37.35,93
15058A,BLUE WHITE SPOTS GARDEN PARASOL,276,12,1401.84,1485.24,83.40,61
15058B,PINK POLKADOT GARDEN PARASOL,234,5,1895.62,1932.97,37.35,102
15058B,PINK WHITE SPOTS GARDEN PARASOL,204,4,1362.90,1394.70,31.80,59
15058C,ICE CREAM DESIGN GARDEN PARASOL,470,4,2729.92,2753.72,23.80,124
15059A,ENGLISH ROSE EDWARDIAN PARASOL,509,0,1567.00,1567.00,0.00,4
15060b,FAIRY CAKE DESIGN UMBRELLA,5,0,41.81,41.81,0.00,5
15060B,FAIRY CAKE DESIGN UMBRELLA,1414,10,6402.76,6444.98,42.22,456
16008,SMALL FOLDING SCISSOR(POINTED EDGE),3141,0,422.96,422.96,0.00,85
16010,FOLDING CAMPING SCISSOR W/KNIF & S,32,0,3.84,3.84,0.00,4
16011, ANIMAL STICKERS,385,0,80.85,80.85,0.00,12
16011,ANIMAL STICKERS,3427,24,713.43,718.47,5.04,101
16012,FOOD/DRINK SPONGE STICKERS,2142,0,449.82,449.82,0.00,63
16012,FOOD/DRINK SPUNGE STICKERS,759,0,158.19,158.19,0.00,20
16014,SMALL CHINESE STYLE SCISSOR,29355,0,9513.10,9513.10,0.00,93
16015,MEDIUM CHINESE STYLE SCISSOR,1572,0,711.38,711.38,0.00,65
16016,LARGE CHINESE STYLE SCISSOR,2314,0,1870.70,1870.70,0.00,106
16020C,CLEAR STATIONERY BOX SET ,160,0,134.50,134.50,0.00,39
16033,MINI HIGHLIGHTER PENS,15121,480,1486.92,1544.52,57.60,54
16043,POP ART PUSH DOWN RUBBER ,2145,984,112.62,180.30,67.68,15
16044,POP-ART FLUORESCENT PENS,6193,0,389.22,389.22,0.00,3
16045,POPART WOODEN PENCILS ASST,9312,0,429.44,429.44,0.00,74
16046,TEATIME PEN CASE & PENS,10056,4632,834.46,1223.50,389.04,61
16047,POP ART PEN CASE & PENS,10612,5184,639.98,1054.70,414.72,32
16048,TEATIME ROUND PENCIL SHARPENER ,3461,0,537.06,537.06,0.00,105
16049,TEATIME GEL PENS ASST,3169,0,560.48,560.48,0.00,32
16050,TEATIME PENCIL WITH RUBBER,151,0,46.45,46.45,0.00,8
16051,TEATIME PENCIL W STAMP ASST,941,0,84.69,84.69,0.00,4
16052,TEATIME PUSH DOWN RUBBER,848,24,271.24,281.32,10.08,36
16053,POPART COL BALLPOINT PEN ASST,4313,2000,125.73,185.73,60.00,11
16054,POPART RECT PENCIL SHARPENER ASST,1210,108,146.04,159.00,12.96,40
16119,FUNKY GIRL ADDRESS BOOK,273,0,130.71,130.71,0.00,8
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,3,0,11.25,11.25,0.00,2
16151A,FLOWERS HANDBAG blue and orange,49,0,61.25,61.25,0.00,3
16156L,WRAP CAROUSEL,375,0,157.50,157.50,0.00,14
16156L,"WRAP, CAROUSEL",575,0,241.50,241.50,0.00,22
16156N,"WRAP, FRIENDSHIP ON GREEN",1475,0,619.50,619.50,0.00,56
16156S,WRAP PINK FAIRY CAKES ,16661,146,6497.30,6558.62,61.32,422
16161C,WRAP SPEED DEMONS ,450,0,45.00,45.00,0.00,2
16161E,WRAP BOUDOIR ,750,0,75.00,75.00,0.00,9
16161G,WRAP BAD HAIR DAY,975,0,97.50,97.50,0.00,33
16161M,WRAP  PINK FLOCK,1050,25,428.50,439.00,10.50,40
16161P,WRAP ENGLISH ROSE ,13198,25,5424.90,5435.40,10.50,441
16161U,WRAP SUKI AND FRIENDS,6676,75,2690.42,2721.92,31.50,211
16161U,"WRAP,SUKI AND FRIENDS",3350,0,1363.00,1363.00,0.00,110
16162L,THE KING GIFT BAG,8101,3744,383.23,570.43,187.20,31
16162M,THE KING GIFT BAG 25x24x12cm,88,0,36.96,36.96,0.00,13
16168M,FUNKY MONKEY GIFT BAG MEDIUM,1686,0,512.38,512.38,0.00,101
16168S,FUNKY MONKEY GIFT BAG SMALL,1283,0,126.83,126.83,0.00,11
16169A,WRAP CHRISTMAS DECOUPAGE,25,0,10.50,10.50,0.00,1
16169C,WRAP BLUE REINDEER,1350,0,567.00,567.00,0.00,43
16169D,WRAP WINTER FOREST,250,0,105.00,105.00,0.00,9
16169E,WRAP 50'S  CHRISTMAS,4563,125,1839.96,1892.46,52.50,151
16169F,WRAP BLIZZARD,975,0,409.50,409.50,0.00,34
16169G,WRAP ROMANTIC DECOUPAGE,25,0,10.50,10.50,0.00,1
16169K,WRAP FOLK ART,2075,0,658.75,658.75,0.00,60
16169M,WRAP DAISY CARPET ,2060,0,640.95,640.95,0.00,59
16169N,WRAP BLUE RUSSIAN FOLKART,2025,0,626.25,626.25,0.00,56
16169P,WRAP GREEN RUSSIAN FOLKART ,1750,25,523.25,533.75,10.50,49
16192,PINK BALLET OPENING CUBE BOX ,3,0,12.90,12.90,0.00,1
16201A,PASTEL PINK PHOTO ALBUM,101,2,209.47,213.37,3.90,10
16201B,PASTEL BLUE PHOTO ALBUM,34,0,81.10,81.10,0.00,5
