year_month,return_orders,returned_units,return_value,return_order_rate
2009-12,401,10016,25835.45,19.25
2010-01,300,3880,28675.61,21.35
2010-02,239,6952,20612.93,16.59
2010-03,407,4477,67668.02,19.49
2010-04,304,6483,37354.20,17.21
2010-05,407,16599,44434.78,21.34
2010-06,357,15482,72463.44,17.83
2010-07,344,6185,31444.79,18.37
2010-08,273,6689,40477.52,16.08
2010-09,371,95281,70591.03,16.79
2010-10,476,11500,81290.74,17.14
2010-11,576,17716,47595.94,17.33
2010-12,326,16010,74729.12,17.29
2011-01,260,79844,131363.05,19.32
2011-02,219,2865,25519.15,16.60
2011-03,318,5175,34201.28,17.95
2011-04,240,13644,44600.65,16.15
2011-05,314,5868,47202.51,15.74
2011-06,329,7336,70569.78,17.67
2011-07,270,6027,37919.13,15.47
2011-08,278,12345,54330.80,16.96
2011-09,333,7330,38838.51,15.35
2011-10,362,22952,81895.50,15.07
2011-11,441,12595,47720.98,13.74
2011-12,146,83569,205089.27,15.13
